Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change
Admin,2020/12/13,US,8651,7657,917,8651,7657,917,7657,8651,917,null,null
Report,2020/12/13,US,null,null,null,null,null,null,null,null,null,0,0
Admin,2020/12/13,LTC,180,180,0,180,180,0,180,180,0,null,null
Admin,2020/12/14,US,3502,3385,4,12153,11042,921,5521,6076,460,null,null
Report,2020/12/14,US,null,null,null,null,null,null,null,null,null,509,72
Admin,2020/12/14,LTC,0,0,0,180,180,0,90,90,0,null,null
Admin,2020/12/15,US,48356,44946,18,60509,55988,939,18662,20169,313,null,null
Report,2020/12/15,US,null,null,null,null,null,null,null,null,null,12129,1805
Admin,2020/12/15,LTC,0,0,0,180,180,0,60,60,0,null,null
Admin,2020/12/16,US,156644,149835,176,217153,205823,1115,51455,54288,278,null,null
Report,2020/12/16,US,null,null,null,null,null,null,null,null,null,38996,7376
Admin,2020/12/16,LTC,0,0,0,180,180,0,45,45,0,null,null
Admin,2020/12/17,US,267436,256772,457,484589,462595,1572,92519,96917,314,null,null
Report,2020/12/17,US,null,null,null,null,null,null,null,null,null,75708,18191
Admin,2020/12/17,LTC,5,5,0,185,185,0,37,37,0,null,null
Admin,2020/12/18,US,403380,392449,454,887969,855044,2026,142507,147994,337,null,null
Report,2020/12/18,US,null,null,null,null,null,null,null,null,null,126800,36306
Admin,2020/12/18,LTC,1517,1318,0,1702,1503,0,250,283,0,null,null
Admin,2020/12/19,US,169676,165223,640,1057645,1020267,2666,145752,151092,380,null,null
Report,2020/12/19,US,null,null,null,null,null,null,null,null,null,187508,63092
Admin,2020/12/19,LTC,323,323,0,2025,1826,0,260,289,0,null,null
